column,tau,dimension,reason
Lab1_G1_N3,147,17,ArgumentError
Lab1_G1_N3,147,18,ArgumentError
Lab1_G1_N3,147,19,ArgumentError
Lab1_G1_N3,147,20,ArgumentError
Lab1_G1_N3,148,11,ArgumentError
Lab1_G1_N3,148,12,ArgumentError
Lab1_G1_N3,148,13,ArgumentError
Lab1_G1_N3,148,14,ArgumentError
Lab1_G1_N3,148,15,ArgumentError
Lab1_G1_N3,148,16,ArgumentError
Lab1_G1_N3,148,17,ArgumentError
Lab1_G1_N3,148,18,ArgumentError
Lab1_G1_N3,148,19,ArgumentError
Lab1_G1_N3,148,20,ArgumentError
Lab1_G1_N3,149,3,non_finite_uzal_cost
Lab1_G1_N3,149,11,ArgumentError
