column,tau,dimension,uzal_cost
Lab1_G1_N1,62,10,1.0901234814899947
Lab1_G1_N1,73,9,1.0902063695761532
Lab1_G1_N1,95,8,1.0902801318123887
Lab1_G1_N1,25,7,1.0903417557218178
Lab1_G1_N1,70,10,1.0904347897633988
Lab1_G1_N1,26,10,1.0905010159834427
Lab1_G1_N1,43,4,1.0905915253675587
Lab1_G1_N1,92,8,1.090611435968384
Lab1_G1_N1,33,9,1.0906768330459415
Lab1_G1_N1,37,10,1.090792988479594
Lab1_G1_N1,9,6,1.0908161887396837
Lab1_G1_N1,23,10,1.0908927617747006
Lab1_G1_N1,77,9,1.0911225764701522
Lab1_G1_N1,67,9,1.0911560162390528
Lab1_G1_N1,70,4,1.0911726875649375
Lab1_G1_N1,74,10,1.091202969672787
Lab1_G1_N1,64,7,1.0912050608148833
Lab1_G1_N1,81,10,1.0914763161239447
Lab1_G1_N1,71,3,1.0914978663382517
Lab1_G1_N1,35,10,1.0916023123588008
Lab1_G1_N1,26,9,1.091628877024796
Lab1_G1_N1,55,7,1.0916877250149053
Lab1_G1_N1,48,3,1.0916976533900729
Lab1_G1_N1,9,10,1.091719488450668
Lab1_G1_N1,49,4,1.091862898996191
Lab1_G1_N1,99,8,1.0919332557533152
Lab1_G1_N1,32,10,1.0919632861234594
Lab1_G1_N1,30,11,1.0920874342208802
Lab1_G1_N1,44,8,1.0921931049727425
Lab1_G1_N1,54,3,1.0923332977020612
Lab1_G1_N1,38,10,1.0923456557505742
Lab1_G1_N1,47,10,1.0924489657533563
Lab1_G1_N1,14,10,1.0926370903076248
Lab1_G1_N1,81,5,1.0926772383092376
Lab1_G1_N1,83,7,1.0927560315468756
Lab1_G1_N1,39,11,1.0928587938072614
Lab1_G1_N1,45,5,1.0931418517124574
Lab1_G1_N1,83,8,1.0932190167601665
Lab1_G1_N1,48,10,1.093246082777943
Lab1_G1_N1,84,4,1.0933067213185805
Lab1_G1_N1,10,11,1.0935147167723192
Lab1_G1_N1,43,3,1.0936158759615782
Lab1_G1_N1,21,10,1.0936440443726148
Lab1_G1_N1,71,11,1.0937556455613686
