column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite,embedding_points_original,embedding_points_used,max_points_limit
Lab1_dev,4,5,2,1.173872709274292,1.1939404010772705,0.020067691802978516,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.2136763334274292,0.03980362415313721,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.1939404010772705,0.020067691802978516,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.325937032699585,0.15206432342529297,False,1423,400,400
Lab1_dev,4,5,2,1.173872709274292,1.1939404010772705,0.020067691802978516,False,1423,400,400
Lab1_dev,4,5,2,1.1534559726715088,1.1939404010772705,0.04048442840576172,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.1939404010772705,0.06126904487609863,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.1534559726715088,0.020784616470336914,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.2896029949188232,0.15693163871765137,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.173872709274292,0.04120135307312012,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.1534559726715088,0.020784616470336914,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.1534559726715088,0.020784616470336914,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.2136763334274292,0.08100497722625732,False,1423,400,400
Lab1_dev,4,5,2,1.1326713562011719,1.2710466384887695,0.13837528228759766,False,1423,400,400
Lab1_dev,4,5,2,1.1114979982376099,1.1326713562011719,0.02117335796356201,False,1423,400,400
Lab1_dev,4,5,2,1.1114979982376099,1.1939404010772705,0.08244240283966064,False,1423,400,400
Lab1_dev,4,5,2,1.1114979982376099,1.1534559726715088,0.041957974433898926,False,1423,400,400
Lab1_dev,4,5,2,1.1114979982376099,1.1534559726715088,0.041957974433898926,False,1423,400,400
Lab1_dev,4,5,2,1.1114979982376099,1.1326713562011719,0.02117335796356201,False,1423,400,400
Lab1_dev,4,5,2,1.0899134874343872,1.1534559726715088,0.06354248523712158,False,1423,400,400
Lab1_dev,4,5,2,1.0899134874343872,1.1114979982376099,0.021584510803222656,False,1423,400,400
Lab1_dev,4,5,2,1.0899134874343872,1.1114979982376099,0.021584510803222656,False,1423,400,400
Lab1_dev,4,5,2,1.0678927898406982,1.1114979982376099,0.04360520839691162,False,1423,400,400
Lab1_dev,4,5,2,1.0678927898406982,1.1939404010772705,0.12604761123657227,False,1423,400,400
Lab1_dev,4,5,2,1.0678927898406982,1.1114979982376099,0.04360520839691162,False,1423,400,400
Lab1_dev,4,5,2,1.0454082489013672,1.0899134874343872,0.04450523853302002,False,1423,400,400
Lab1_dev,4,5,2,1.0454082489013672,1.0899134874343872,0.04450523853302002,False,1423,400,400
Lab1_dev,4,5,2,1.0454082489013672,1.0899134874343872,0.04450523853302002,False,1423,400,400
Lab1_dev,4,5,2,1.0454082489013672,1.1939404010772705,0.14853215217590332,False,1423,400,400
Lab1_dev,4,5,2,1.0224294662475586,1.0454082489013672,0.022978782653808594,False,1423,400,400
Lab1_dev,4,5,2,1.0224294662475586,1.0678927898406982,0.04546332359313965,False,1423,400,400
Lab1_dev,4,5,2,1.0224294662475586,1.0899134874343872,0.06748402118682861,False,1423,400,400
Lab1_dev,4,5,2,1.0224294662475586,1.0454082489013672,0.022978782653808594,False,1423,400,400
Lab1_dev,4,5,2,0.9989222288131714,1.0224294662475586,0.023507237434387207,False,1423,400,400
Lab1_dev,4,5,2,0.9989222288131714,1.0224294662475586,0.023507237434387207,False,1423,400,400
Lab1_dev,4,5,2,0.9989222288131714,1.0224294662475586,0.023507237434387207,False,1423,400,400
Lab1_dev,4,5,2,0.9989222288131714,1.0678927898406982,0.06897056102752686,False,1423,400,400
Lab1_dev,4,5,2,0.9748482704162598,0.9989222288131714,0.02407395839691162,False,1423,400,400
Lab1_dev,4,5,2,0.9501645565032959,0.9748482704162598,0.024683713912963867,False,1423,400,400
Lab1_dev,4,5,2,0.9501645565032959,1.0454082489013672,0.09524369239807129,False,1423,400,400
Lab1_dev,4,5,2,0.9248222708702087,1.0224294662475586,0.09760719537734985,False,1423,400,400
Lab1_dev,4,5,2,0.9248222708702087,1.0224294662475586,0.09760719537734985,False,1423,400,400
Lab1_dev,4,5,2,0.6893218159675598,0.7551141977310181,0.06579238176345825,False,1423,400,400
Lab1_G3_Pc2,18,9,2,3.54192852973938,3.559995651245117,0.018067121505737305,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.979904890060425,3.1421167850494385,0.16221189498901367,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.8963735103607178,2.9629409313201904,0.06656742095947266,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.834606170654297,2.857189416885376,0.0225832462310791,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.8213162422180176,2.834628105163574,0.01331186294555664,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.811126947402954,2.837574005126953,0.026447057723999023,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.804466724395752,2.8528618812561035,0.04839515686035156,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.8030340671539307,2.811433792114258,0.008399724960327148,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7996790409088135,2.816732168197632,0.01705312728881836,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.796696186065674,2.8511745929718018,0.05447840690612793,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7932136058807373,2.8842437267303467,0.09103012084960938,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7922563552856445,2.9307520389556885,0.13849568367004395,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7855281829833984,2.8063838481903076,0.02085566520690918,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.780308485031128,2.782396078109741,0.0020875930786132812,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.778148651123047,2.8793416023254395,0.10119295120239258,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.777238130569458,2.794020891189575,0.016782760620117188,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7770650386810303,2.950618267059326,0.1735532283782959,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.776472330093384,2.957789897918701,0.18131756782531738,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7754807472229004,2.9241981506347656,0.14871740341186523,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7703518867492676,2.9165422916412354,0.14619040489196777,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7491297721862793,2.8746676445007324,0.12553787231445312,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.745798110961914,2.8121109008789062,0.06631278991699219,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.745203733444214,2.758323907852173,0.013120174407958984,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.741947889328003,2.772815704345703,0.030867815017700195,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.719104528427124,2.8000426292419434,0.08093810081481934,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7113444805145264,2.739684820175171,0.02834033966064453,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.7099506855010986,2.7833898067474365,0.07343912124633789,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.698960065841675,2.7986180782318115,0.09965801239013672,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.698960065841675,2.7986180782318115,0.09965801239013672,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6880104541778564,2.8000426292419434,0.11203217506408691,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.686282157897949,2.7641637325286865,0.0778815746307373,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6855392456054688,2.697667121887207,0.012127876281738281,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6752209663391113,2.714048147201538,0.03882718086242676,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6743478775024414,2.782309055328369,0.10796117782592773,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6725893020629883,2.6924710273742676,0.019881725311279297,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6645395755767822,2.807703971862793,0.14316439628601074,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.660487174987793,2.707430839538574,0.04694366455078125,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6583080291748047,2.6666903495788574,0.008382320404052734,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6497297286987305,2.7768146991729736,0.12708497047424316,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6473443508148193,2.693103313446045,0.045758962631225586,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.643993377685547,2.694727897644043,0.050734519958496094,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.643190860748291,2.772815704345703,0.1296248435974121,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.64176607131958,2.7057371139526367,0.06397104263305664,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.638688802719116,2.7279725074768066,0.08928370475769043,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.617429733276367,2.7571945190429688,0.13976478576660156,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6093764305114746,2.621537446975708,0.012161016464233398,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.6080970764160156,2.6974525451660156,0.08935546875,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5938820838928223,2.7068817615509033,0.11299967765808105,False,1295,400,400
Lab1_G3_Pc2,18,9,2,2.5918376445770264,2.730538845062256,0.1387012004852295,False,1295,400,400
